Domain Name,Organization
webmail.auab.afcent.af.mil,Unknown
bagram.afcent.af.mil,455th Air Expeditionary Wing
mail.bgab.afcent.af.mil,Unknown
webmail.bgab.afcent.af.mil,Unknown
manas.afcent.af.mil,376th Air Expeditionary Wing
mail.nosc.afcent.af.mil,Unknown
webmail.nosc.afcent.af.mil,Unknown
mail.qa.afcent.af.mil,Unknown
webmail.qa.afcent.af.mil,Unknown
mail.sc.afcent.af.mil,Unknown
ows.sc.afcent.af.mil,Unknown
weather.sc.afcent.af.mil,Unknown
webmail.sc.afcent.af.mil,Unknown
afdoctrine.af.mil,Unknown
afdw.af.mil,Air Force District of Washington
afgsc.af.mil,Air Force Global Strike Command
afhra.af.mil,Air Force Historical Research Agency
afhso.af.mil,Air Force Historical Studies Office
afjag.af.mil,Air Force Judge Advocate General
afmc.af.mil,Air Force Materiel Command
eis.afmc.af.mil,Unknown
webmail.afmc.af.mil,Unknown
afms.af.mil,Air Force Medical Service
mail.afncr.af.mil,Unknown
wmsweb.afncr.af.mil,Unknown
dev.wmsweb.afncr.af.mil,Unknown
sp.wmsweb.afncr.af.mil,Unknown
dev.sp.wmsweb.afncr.af.mil,Unknown
stage.sp.wmsweb.afncr.af.mil,Unknown
stage.wmsweb.afncr.af.mil,Unknown
wmsauthdev.wmsweb.afncr.af.mil,Unknown
afnic.af.mil,Air Force Network Integration Center
hq.afoats.af.mil,Unknown
afotec.af.mil,Air Force Operational Test and Evaluation Center
afpa.af.mil,Air Force Petroleum Agency
afpaa.af.mil,Air Force Public Affairs Agency
afpaas.af.mil,Unknown
pki.afpaas.af.mil,Unknown
afpaassupport.af.mil,Unknown
afpc.af.mil,Air Force Personnel Center
afrc.af.mil,Air Force Reserve - Command
10af.afrc.af.mil,10th Air Force
301fw.afrc.af.mil,301st Fighter Wing
302aw.afrc.af.mil,302nd Airlift Wing
307bw.afrc.af.mil,307th Bomb Wing
310sw.afrc.af.mil,310th Space Wing
315aw.afrc.af.mil,315th Airlift Wing
349amw.afrc.af.mil,349th Air Mobility Wing
403wg.afrc.af.mil,403d WG
419fw.afrc.af.mil,419th Fighter Wing
445aw.afrc.af.mil,445th Airlift Wing
446aw.afrc.af.mil,446th Airlift Wing
459arw.afrc.af.mil,459th Air Refueling Wing
507arw.afrc.af.mil,507th Air Refueling Wing
512aw.afrc.af.mil,512th Airlift Wing
514amw.afrc.af.mil,514th Air Mobility Wing
52arty-db-001v.afrc.af.mil,Unknown
52arty-db-002v.afrc.af.mil,Unknown
52arty-ws-001v.afrc.af.mil,Unknown
52arty-ws-002v.afrc.af.mil,Unknown
52arty-ws-003v.afrc.af.mil,Unknown
52arty-ws-004v.afrc.af.mil,Unknown
52arty-ws-005v.afrc.af.mil,Unknown
52arty-ws-006v.afrc.af.mil,Unknown
52arty-ws-007v.afrc.af.mil,Unknown
52arty-ws-008v.afrc.af.mil,Unknown
624rsg.afrc.af.mil,624th Regional Support Group
908aw.afrc.af.mil,908th Airlift Wing
916arw.afrc.af.mil,916th Air Refueling Wing
920rqw.afrc.af.mil,920th Rescue Wing
926gp.afrc.af.mil,926th Group
927arw.afrc.af.mil,927th Air Refueling Wing
931arg.afrc.af.mil,931st Air Refueling Group
932aw.afrc.af.mil,932nd Airlift Wing
940wg.afrc.af.mil,940th Wing
944fw.afrc.af.mil,944th Fighter Wing
arpc.afrc.af.mil,Air Reserve Personnel Center
mtloadbalancer.arpc.afrc.af.mil,Unknown
reports.arpc.afrc.af.mil,Unknown
test.arpc.afrc.af.mil,Unknown
arpcmt1.afrc.af.mil,Unknown
arpcmt2.afrc.af.mil,Unknown
arpcmt3.afrc.af.mil,Unknown
citamn.afrc.af.mil,Citizen Airman Magazine
dobbins.afrc.af.mil,Dobbins Air Reserve Base
grissom.afrc.af.mil,Grissom Air Reserve Base
homestead.afrc.af.mil,Homestead Air Reserve Base
march.afrc.af.mil,March Air Reserve Base
minneapolis.afrc.af.mil,Minneapolis-St. Paul Air Reserve Station
niagara.afrc.af.mil,Niagara Falls Air Reserve Station
pittsburgh.afrc.af.mil,Pittsburgh IAP Air Reserve Station
pope.afrc.af.mil,440th Airlift Wing
utapsima.afrc.af.mil,Unknown
westover.afrc.af.mil,Westover Air Reserve Base
youngstown.afrc.af.mil,Youngstown Air Reserve Station
ebs.afrl.af.mil,Unknown
one.afrl.af.mil,Unknown
afsc.af.mil,Air Force Sustainment Center
afsec.af.mil,Air Force Safety Center
afsfc.af.mil,Headquarters Air Force Security Forces Center
afsoc.af.mil,Air Force Special Operations Command
afspc.af.mil,Air Force Space Command
eis.afspc.af.mil,Unknown
gps.afspc.af.mil,Unknown
login.afwa.af.mil,Unknown
metocdata.afwa.af.mil,Unknown
owsjet21.afwa.af.mil,Unknown
owsjet21gis1.afwa.af.mil,Unknown
owsjet21gis2.afwa.af.mil,Unknown
owsjet21gis3.afwa.af.mil,Unknown
weather.afwa.af.mil,Joint Air Force and Army Weather Information Network
afweather.af.mil,Air Force Combat Climatology Center - Government
airforcehollywood.af.mil,Air Force Entertainment Liaison Office
airforcemedicine.af.mil,Suicide Prevention
altus.af.mil,Altus Air Force Base
amc.af.mil,Air Mobility Command
18af.amc.af.mil,18th Air Force
618tacc.amc.af.mil,618th Air Operations Center
eim.amc.af.mil,Unknown
globalreach.amc.af.mil,Unknown
myeim.amc.af.mil,Unknown
andersen.af.mil,Andersen Air Force Base
andrews.af.mil,Joint Base Andrews
ang.af.mil,Air National Guard - Official Site
101arw.ang.af.mil,Maine Air National Guard
102iw.ang.af.mil,102nd Intelligence Wing
103aw.ang.af.mil,103rd Airlift Wing
104fw.ang.af.mil,"104th Fighter Wing, Massachusetts Air National Guard"
105aw.ang.af.mil,"105th Airlift Wing, New York Air National Guard"
106rqw.ang.af.mil,106th Rescue Wing
107aw.ang.af.mil,107th Airlift Wing
108arw.ang.af.mil,108th Wing
109aw.ang.af.mil,109th Airlift Wing
110aw.ang.af.mil,110th Airlift Wing
111fw.ang.af.mil,"111th Fighter Wing, Pennsylvania Air National Guard"
113wg.ang.af.mil,113th Wing
114fw.ang.af.mil,114th Fighter Wing
115fw.ang.af.mil,115th Fighter Wing
116acw.ang.af.mil,116th Air Control Wing
117arw.ang.af.mil,117th Air Refueling Wing
118wg.ang.af.mil,"118th Wing, Tennessee Air National Guard"
119wg.ang.af.mil,119th Wing
120fw.ang.af.mil,120th Fighter Wing
121arw.ang.af.mil,121st Air Refueling Wing
122fw.ang.af.mil,"122nd Fighter Wing, Indiana Air National Guard"
123aw.ang.af.mil,"123rd Airlift Wing, Kentucky Air National Guard"
125fw.ang.af.mil,125th Fighter Wing
127wg.ang.af.mil,127th Wing
128arw.ang.af.mil,128th Air Refueling Wing
129rqw.ang.af.mil,"129th Rescue Wing, California Air National Guard"
130aw.ang.af.mil,The 130th West Virginia
131bw.ang.af.mil,"131st Bomb Wing, Missouri Air National Guard"
131fw.ang.af.mil,131st Bomb Wing
132dwing.ang.af.mil,132d Wing
132fw.ang.af.mil,132nd Fighter Wing
133aw.ang.af.mil,133rd Airlift Wing
134arw.ang.af.mil,134th Air Refueling Wing
136aw.ang.af.mil,136th Airlift Wing
137arw.ang.af.mil,137th Air Refueling Wing
138fw.ang.af.mil,138th Fighter Wing
139aw.ang.af.mil,"139th Airlift Wing, Missouri Air National Guard"
140wg.ang.af.mil,140th Wing
141arw.ang.af.mil,141st Air Refueling Wing
142fw.ang.af.mil,142nd Fighter Wing
143aw.ang.af.mil,"143rd Airlift Wing, Rhode Island Air National Guard"
144fw.ang.af.mil,144th Fighter Wing Home Page
145aw.ang.af.mil,145th Airlift Wing
146aw.ang.af.mil,"146th Airlift Wing, California Air National Guard"
147rw.ang.af.mil,"147th Reconnaissance Wing, Texas Air National Guard"
148fw.ang.af.mil,148th Fighter Wing
149fw.ang.af.mil,"149th Fighter Wing, Texas Air National Guard"
150fw.ang.af.mil,150th Fighter Wing
151arw.ang.af.mil,151st Air Refueling Wing
152AW.ang.af.mil,152nd Airlift Wing
153aw.ang.af.mil,"153rd Airlift Wing, Wyoming Air National Guard"
154wg.ang.af.mil,154th Wing
155arw.ang.af.mil,155th Air Refueling Wing
157arw.ang.af.mil,157th Air Refueling Wing
158fw.ang.af.mil,"158th Fighter Wing, Vermont Air National Guard"
161arw.ang.af.mil,"161st Air Refueling Wing, Arizona Air National Guard"
162ccg.ang.af.mil,162d Combat Communications Group
162fw.ang.af.mil,162nd Fighter Wing
162wing.ang.af.mil,162nd Wing
163rw.ang.af.mil,163rd Reconnaissance Wing Official Website
164aw.ang.af.mil,164th Airlift Wing
165aw.ang.af.mil,165th Airlift Wing Georgia Air National Guard
166aw.ang.af.mil,"166th Airlift Wing, Delaware Air National Guard"
167aw.ang.af.mil,167th Airlift Wing (West Virginia Air National Guard)
168arw.ang.af.mil,168th Air Refueling Wing
169fw.ang.af.mil,South Carolina Air National Guard
171arw.ang.af.mil,171st Air Refueling Wing
172aw.ang.af.mil,172d Airlift Wing
173fw.ang.af.mil,"173rd Fighter Wing, Oregon Air National Guard"
174fw.ang.af.mil,174th Fighter Wing
175wg.ang.af.mil,Maryland Air National Guard
176wg.ang.af.mil,176th Wing
177fw.ang.af.mil,177th Fighter Wing
178fw.ang.af.mil,178th Fighter Wing
178wing.ang.af.mil,178th Wing
179aw.ang.af.mil,"179th Airlift Wing, Ohio Air National Guard"
180fw.ang.af.mil,180th Fighter Wing
181iw.ang.af.mil,181st Intelligence Wing
182aw.ang.af.mil,182d Airlift Wing
183fw.ang.af.mil,183rd Fighter Wing
184iw.ang.af.mil,184th Air Refueling Wing
185arw.ang.af.mil,185th Air Refueling Wing
186arw.ang.af.mil,"186th Air Refueling Wing, Mississippi Air National Guard"
187fw.ang.af.mil,187th Fighter Wing
188fw.ang.af.mil,Ebbing Air National Guard Base
189aw.ang.af.mil,189th Airlift Wing
190arw.ang.af.mil,190th Air Refueling Wing
192fw.ang.af.mil,192nd Fighter Wing
193sow.ang.af.mil,193rd Special Operations Wing
angdrm.access.ang.af.mil,Unknown
direct.access.ang.af.mil,Unknown
federation.access.ang.af.mil,Unknown
mail.access.ang.af.mil,Unknown
vpn.access.ang.af.mil,Unknown
alpenacrtc.ang.af.mil,Alpena CRTC
angtec.ang.af.mil,The I.G. Brown Training and Education Center
az.ang.af.mil,Arizona Air National Guard
bandofthegulfcoast.ang.af.mil,Air National Guard Band of the Gulf Coast
bandofthemidatlantic.ang.af.mil,Air National Guard Band of the Mid-Atlantic
bandofthemidwest.ang.af.mil,Air National Guard Band of the Midwest
bandofthesmokymountains.ang.af.mil,Air National Guard Band of the Smoky Mountains
bandofthesouthwest.ang.af.mil,Air National Guard Band of the Southwest
ca.ang.af.mil,California Air National Guard
147cbcs.ca.ang.af.mil,147th Combat Communications Squadron
149cbcs.ca.ang.af.mil,149th Combat Communications Squadron
261cbcs.ca.ang.af.mil,261st Combat Communications Squadron
eads.ang.af.mil,Eastern Air Defense Sector
fl.ang.af.mil,Florida Air National Guard
hancockfield.ang.af.mil,Hancock Field Air National Guard Base
idaho.ang.af.mil,"124th Fighter Wing, Idaho Air National Guard"
ilspri.ang.af.mil,183rd Fighter Wing
logistics.ang.af.mil,Unknown
mail1.ang.af.mil,Unknown
mail2.ang.af.mil,Unknown
mail3.ang.af.mil,Unknown
ncchar.ang.af.mil,North Carolina Air National Guard
neads.ang.af.mil,NE Air Defense Sector
oh.ang.af.mil,Ohio Air National Guard
orklam.ang.af.mil,173rd Fighter Wing
165aw.pex.ang.af.mil,Unknown
1afnorth.region1.ang.af.mil,Unknown
scang.ang.af.mil,South Carolina Air National Guard
viang.ang.af.mil,Virgin Islands Air National Guard
volkfield.ang.af.mil,Volk Field Air National Guard Base
vt.ang.af.mil,Vermont Air National Guard
wvang.ang.af.mil,West Virginia Air National Guard
apims.af.mil,Unknown
arnold.af.mil,Arnold Air Force Base & Arnold Engineering Development Complex
aviano.af.mil,Aviano Air Base
webmail.aviano.af.mil,Unknown
bandofflight.af.mil,U.S. Air Force Band of Flight
bandofmidamerica.af.mil,U.S. Air Force Band of Mid-America
bandofthegoldenwest.af.mil,U.S. Air Force Band of the Golden West
bandofthepacific-asia.af.mil,U.S. Air Force Band of the Pacific-Asia
bandofthepacific-hawaii.af.mil,U.S. Air Force Band of the Pacific-Hawaii
bandofthewest.af.mil,U.S. Air Force Band of the West
bands.af.mil,Air Force Bands
barksdale.af.mil,Barksdale Air Force Base
mail.barksdale.af.mil,Unknown
basictraining.af.mil,Air Force Basic Military Training
beale.af.mil,Beale Air Force Base
epex.beale.af.mil,Unknown
mail.beale.af.mil,Unknown
bmtflightphotos.af.mil,USAF Basic Military Training Flight Photograph Project
afchips.brooks.af.mil,Unknown
afwebha.brooks.af.mil,Unknown
buckley.af.mil,Buckley Air Force Base
charleston.af.mil,Joint Base Charleston
qc.cie.af.mil,Unknown
vpn.cie.af.mil,Unknown
climate.af.mil,Unknown
columbus.af.mil,Columbus Air Force Base
webmail.columbus.af.mil,Unknown
creech.af.mil,"Creech Air Force Base, NV"
dm.af.mil,Davis-Monthan Air Force Base
jetgis1.dm.af.mil,Unknown
jetgis2.dm.af.mil,Unknown
jetgis3.dm.af.mil,Unknown
jetrhq.dm.af.mil,Unknown
mail.dm.af.mil,Unknown
owsjet2.dm.af.mil,Unknown
doctrine.af.mil,Air Force Doctrine
dover.af.mil,Dover Air Force Base home page
dyess.af.mil,Dyess Air Force Base
mail.dyess.af.mil,Unknown
edwards.af.mil,Edwards Air Force Base
efoia.af.mil,Unknown
eglin.af.mil,Eglin Air Force Base
eielson.af.mil,Eielson Air Force Base
eis.af.mil,Unknown
ellsworth.af.mil,28th Bomb Wing
mail.ellsworth.af.mil,Unknown
expeditionarycenter.af.mil,U.S. Air Force Expeditionary Center
fairchild.af.mil,Fairchild Air Force Base
foia.af.mil,Information Access Policy and Compliance Branch
goodfellow.af.mil,Goodfellow Air Force Base
webmail.goodfellow.af.mil,Unknown
grandforks.af.mil,Grand Forks Air Force Base
gunter.af.mil,Maxwell Gunter Annex
anywhere.gunter.af.mil,Unknown
autodiscover.gunter.af.mil,Unknown
ceds.gunter.af.mil,Unknown
emts.gunter.af.mil,Unknown
legacy.gunter.af.mil,Unknown
mail.gunter.af.mil,Unknown
midtier.gunter.af.mil,Unknown
hanscom.af.mil,Hanscom Air Force Base
heartlandofamericaband.af.mil,U.S. Air Force Heartland of America Band
heritageofamericaband.af.mil,U.S. Air Force Heritage of America Band
17ows.hickam.af.mil,Unknown
ows.hickam.af.mil,Unknown
hill.af.mil,"Hill Air Force Base, Utah"
aftoc.hill.af.mil,Unknown
aftoc2.hill.af.mil,Unknown
awbs.hill.af.mil,Unknown
ctor.hill.af.mil,Unknown
farsite.hill.af.mil,AFLCMC HIBB
wb75cs-891-6.hill.af.mil,Unknown
www2.hill.af.mil,Unknown
holloman.af.mil,Holloman Air Force Base
mail.holloman.af.mil,Unknown
honorguard.af.mil,USAF Honor Guard
housing.af.mil,Air Force Housing
acdisposition.hq.af.mil,Unknown
ww3.safaq.hq.af.mil,Air Force Acquisitions
saffm.hq.af.mil,Air Force Financial Management & Comptroller
safgc.hq.af.mil,Air Force General Counsel
safie.hq.af.mil,"Air Force Installations, Environment, Logistics and Energy"
safsp.hq.af.mil,Space Cadre Development
hurlburt.af.mil,Hurlburt Field
23ws.hurlburt.af.mil,Unknown
605tes.hurlburt.af.mil,Unknown
incirlik.af.mil,Incirlik Air Base
webmail.incirlik.af.mil,Unknown
logon.jag.af.mil,Unknown
jber.af.mil,11th Air Force
jble.af.mil,Joint Base Langley- Eustis
jbsa.af.mil,Joint Base San Antonio
jointbasemdl.af.mil,Joint Base McGuire-Dix-Lakehurst
jppso-cos.af.mil,Unknown
jppso-cos-ws.jppso-cos.af.mil,Unknown
kadena.af.mil,Kadena Air Base
keesler.af.mil,81st Medical Group
kirtland.af.mil,377th Air Base Wing
prs.afrl.kirtland.af.mil,Air Force Research Laboratory
kunsan.af.mil,8th Fighter Wing
afcec-portal.lackland.af.mil,Unknown
ci.afcec-portal.lackland.af.mil,Unknown
cn.afcec-portal.lackland.af.mil,Unknown
cp.afcec-portal.lackland.af.mil,Unknown
cr.afcec-portal.lackland.af.mil,Unknown
ct.afcec-portal.lackland.af.mil,Unknown
cx.afcec-portal.lackland.af.mil,Unknown
cz.afcec-portal.lackland.af.mil,Unknown
ds.afcec-portal.lackland.af.mil,Unknown
help.afcec-portal.lackland.af.mil,Unknown
pi.afcec-portal.lackland.af.mil,Unknown
afcee-eim.lackland.af.mil,Unknown
sammc-eis.lackland.af.mil,Unknown
lajes.af.mil,Lajes Link
lakenheath.af.mil,Royal Air Force Station Lakenheath
afaems.langley.af.mil,Unknown
afvec.langley.af.mil,Unknown
mail.langley.af.mil,Unknown
laughlin.af.mil,Laughlin Air Force Base
legalassistance.law.af.mil,Army Legal Services Agency
littlerock.af.mil,Little Rock Air Force Base
losangeles.af.mil,Los Angeles Air Force Base
gps.losangeles.af.mil,Unknown
insidesmc.losangeles.af.mil,Unknown
la-ncc-ws6nsabb.losangeles.af.mil,Unknown
luke.af.mil,Luke Air Force Base
macdill.af.mil,MacDill
malmstrom.af.mil,Malmstrom Air Force Base
maxwell.af.mil,Maxwell Air Force Base
augateway.maxwell.af.mil,Unknown
auportal.maxwell.af.mil,Unknown
ausis.maxwell.af.mil,Unknown
ccaf.maxwell.af.mil,Unknown
maxpoint.maxwell.af.mil,Unknown
tcf.maxwell.af.mil,Unknown
mcconnell.af.mil,McConnell Air Force Base
medxs.af.mil,Unknown
sso.medxs.af.mil,Unknown
uat.medxs.af.mil,Unknown
sso.uat.medxs.af.mil,Unknown
mildenhall.af.mil,Royal Air Force Mildenhall
minot.af.mil,Minot Air Force Base
misawa.af.mil,Misawa Air Base
moody.af.mil,Moody Air Force Base
mail.moody.af.mil,Unknown
mortuary.af.mil,Air Force Mortuary Affairs Operations
mountainhome.af.mil,Mountain Home Air Force Base
mail.mountainhome.af.mil,Unknown
music.af.mil,AF Public Affairs Agency Band Support
my.af.mil,NAVAL SPECIAL WARFARE COMMAND
cie-dev.my.af.mil,Unknown
cie-dev-lrt.my.af.mil,Unknown
cie-int.my.af.mil,Unknown
cie-int-lrt.my.af.mil,Unknown
cie-sbx-poc.my.af.mil,Unknown
ej-crl.my.af.mil,Unknown
rso.my.af.mil,Unknown
rso2.my.af.mil,Unknown
tdr.my.af.mil,Unknown
www2.my.af.mil,Unknown
www2d.my.af.mil,Unknown
www8.my.af.mil,Unknown
www9.my.af.mil,Unknown
wwwd.my.af.mil,Unknown
nationalmuseum.af.mil,National Museum of the U.S. Air Force
nellis.af.mil,Nellis Air Force Base
mail.nellis.af.mil,Unknown
netcents.af.mil,Air Force NetCents
offutt.af.mil,Offutt Air Force Base
mail.offutt.af.mil,Unknown
owa.ogn.af.mil,Unknown
osan.af.mil,Osan Air Base
osi.af.mil,Air Force Office of Special Investigations
pacaf.af.mil,Pacific Air Forces
5af.pacaf.af.mil,5th Air Force
7af.pacaf.af.mil,7th Air Force
patrick.af.mil,Patrick Air Force Base
peci.af.mil,Unknown
mpes4.bo.pentagon.af.mil,Unknown
mpes4.pentagon.af.mil,Unknown
peci.pentagon.af.mil,Unknown
peterson.af.mil,Peterson Air Force Base
cisf22.peterson.af.mil,Unknown
emtsapp1.peterson.af.mil,Unknown
emtsapp2.peterson.af.mil,Unknown
emtsapp3.peterson.af.mil,Unknown
sc2s.peterson.af.mil,Unknown
www2.peterson.af.mil,Unknown
pope.af.mil,Pope Field
ramstein.af.mil,"Ramstein Air Base, Germany"
webmail.ramstein.af.mil,Unknown
aetcuft.randolph.af.mil,Unknown
vpsc.afpc.randolph.af.mil,Unknown
w40.afpc.randolph.af.mil,Unknown
etca.randolph.af.mil,Unknown
robins.af.mil,AFLCMC/WLSEAC
rs.af.mil,Air Force Recruiting Service
ricky.rs.af.mil,Unknown
sab.af.mil,U.S. Air Force Scientific Advisory Board
safcioa6.af.mil,AF CIO A6
schriever.af.mil,Schriever Air Force Base
scott.af.mil,Scott Air Force Base
secretsdeclassified.af.mil,Air Force Declassification Office
ows.sembach.af.mil,Unknown
sexualassaultpreventionresponse.af.mil,SAPR
seymourjohnson.af.mil,Seymour Johnson Air Force Base
shaw.af.mil,9th Air Force
mail.shaw.af.mil,Unknown
sheppard.af.mil,Sheppard Air Force Base
spangdahlem.af.mil,Spangdahlem Air Base
webmail.spangdahlem.af.mil,Unknown
tinker.af.mil,Tinker Air Force Base
apps.tinker.af.mil,Unknown
asimis.tinker.af.mil,Unknown
prdinfra02.tinker.af.mil,Unknown
prdmtier01.tinker.af.mil,Unknown
prdmtier02.tinker.af.mil,Unknown
wbcpins.tinker.af.mil,Unknown
trademark.af.mil,Air Force Trademark and Licensing
travis.af.mil,60th MDG
tyndall.af.mil,Tyndall Air Force Base
webmail.tyndall.af.mil,Unknown
21weather.us.af.mil,Unknown
eis.afimsc.us.af.mil,Unknown
autodiscover.us.af.mil,Unknown
eim.us.af.mil,Unknown
afosi.eim.us.af.mil,Unknown
afrc.eim.us.af.mil,Unknown
airforcecontracting.eim.us.af.mil,Unknown
amc.eim.us.af.mil,Unknown
crm.eim.us.af.mil,Unknown
mysites.eim.us.af.mil,Unknown
jet15gis1.us.af.mil,Unknown
jet15gis2.us.af.mil,Unknown
jet15gis3.us.af.mil,Unknown
jet15rhq.us.af.mil,Unknown
jet26gis1.us.af.mil,Unknown
jet26gis2.us.af.mil,Unknown
jet26gis3.us.af.mil,Unknown
jet26rhq.us.af.mil,Unknown
mail.us.af.mil,Unknown
meettyfr.us.af.mil,Unknown
ows15.us.af.mil,Unknown
ows15pass.us.af.mil,Unknown
ows25.us.af.mil,Unknown
ows26pass.us.af.mil,Unknown
owsjet15.us.af.mil,Unknown
owsjet25.us.af.mil,Unknown
owsjet26.us.af.mil,Unknown
robins.tmt.us.af.mil,Unknown
robins.tmtsp.us.af.mil,Unknown
ramstein.uc.us.af.mil,Unknown
usafa.af.mil,"Air Force Academy (Colorado Springs, Colo.)"
usafacademyband.af.mil,U.S. Air Force Academy Band
usafband.af.mil,The United States Air Force Band
usafdoctrine.af.mil,Unknown
usafe.af.mil,"3rd Air Force, 17th Expeditionary Air Force"
501csw.usafe.af.mil,501st Combat Support Wing
ice.usafe.af.mil,Unknown
my.ice.usafe.af.mil,Unknown
sp2007.my.ice.usafe.af.mil,Unknown
sp2010.my.ice.usafe.af.mil,Unknown
sp2007.ice.usafe.af.mil,Unknown
sp2010.ice.usafe.af.mil,Unknown
webmail.uk.usafe.af.mil,Unknown
webmail.usafe.af.mil,Unknown
usafeuropeband.af.mil,U.S. Air Forces in Europe Band
vance.af.mil,Vance Air Force Base
vandenberg.af.mil,14th Air Force
warren.af.mil,F.E. Warren Air Force Base
weather.af.mil,Unknown
tile1.weather.af.mil,Unknown
tile2.weather.af.mil,Unknown
tile3.weather.af.mil,Unknown
tile4.weather.af.mil,Unknown
whasc.af.mil,59th Medical Wing
whiteman.af.mil,Whiteman Air Force Base
woundedwarrior.af.mil,Air Force Wounded Warrior
wpafb.af.mil,711th HPW Medical Flight Standards Branch
dodaac.wpafb.af.mil,Unknown
recon.wpafb.af.mil,Unknown
spires.wpafb.af.mil,Unknown
trackerlite.wpafb.af.mil,Unknown
yokota.af.mil,Yokota Air Base
afhsc.mil,Armed Forces Health Surveillance Center
afirm.mil,Armed Forces Institute of Regenerative Medicine
afmes.mil,Armed Forces Medical Examiner System (AFMES)
afmac.afms.mil,Unknown
afwebha.afms.mil,Unknown
asims.afms.mil,Unknown
carepoint.afms.mil,Unknown
kx.afms.mil,Unknown
kx2.afms.mil,Unknown
kxstg.afms.mil,Unknown
mhsphp.afms.mil,Unknown
profile.afms.mil,Unknown
afpims.mil,Unknown
army.afpims.mil,Unknown
dod.afpims.mil,Unknown
usace.afpims.mil,Unknown
usaf.afpims.mil,Unknown
usmc.afpims.mil,Unknown
tecom.usmc.afpims.mil,Marine Corps University
usaf.afpimsstaging.mil,Unknown
africom.mil,Africa Command
cms.africom.mil,Unknown
hoa.africom.mil,Combined Joint Task Force-Horn of Africa
socafrica.africom.mil,SOCAFRICA
www2.africom.mil,Unknown
ah.mil,All Hands Magazine
anthrax.mil,Anthrax Vaccination Program for the Military
conference.apps.mil,Unknown
conference-http.apps.mil,Unknown
conference-http-mont.apps.mil,Unknown
conference-http-okc.apps.mil,Unknown
conference-mont.apps.mil,Unknown
conference-okc.apps.mil,Unknown
arl.mil,Unknown
arlingtoncemetery.mil,Arlington National Cemetery
army.mil,Army - Official Site
12cab.army.mil,12th Combat Aviation Brigade
1id.army.mil,"1st Infantry Division, Fort Riley, Kan."
1stiocmd.army.mil,1st IO Command
acert.1stiocmd.army.mil,Army Computer Emergency Response Team - Computer Network Operations (ACERT)
25idl.army.mil,"25th Infantry Division, Schofield Barracks, Hawaii"
2cr.army.mil,2nd Cavalry Regiment
2k.army.mil,Unknown
3esc.army.mil,Unknown
409csb.army.mil,409th Contracting Support Br
5sigcmd.army.mil,2nd Signal Brigade
7sigcmd.army.mil,7th Signal Command (Theater)
94aamdc.army.mil,"94th Army Air and Missile Defense Command, Fort Shafter, Hawaii"
aaa.army.mil,Unknown
abc.army.mil,Army Benefits Center - Civilian
batsr.abcc.army.mil,Unknown
r-s.abcc.army.mil,Unknown
abi.army.mil,Unknown
acap.army.mil,Army Career and Alumni Program
acapcenters.army.mil,Unknown
acc.army.mil,U.S. Army Contracting Command
acqbiz.army.mil,Unknown
acqbusiness.army.mil,Unknown
acqdemoii.army.mil,Unknown
